,home_team_name,away_team_name,home_team_xG,away_team_xG,date
0,Sampdoria,Milan,1.67,1.17,2021-08-23 13:45:00
1,Hellas Verona,Inter,1.03,1.8,2021-08-27 13:45:00
2,Inter,Genoa,1.66,1.09,2021-08-21 11:30:00
3,Empoli,Lazio,1.61,1.69,2021-08-21 13:45:00
4,Torino,Atalanta,1.37,0.82,2021-08-21 13:45:00
5,Cagliari,Spezia,2.78,0.79,2021-08-23 11:30:00
6,Hellas Verona,Sassuolo,2.78,1.64,2021-08-21 11:30:00
7,Udinese,Venezia,2.64,1.31,2021-08-27 11:30:00
8,Milan,Cagliari,2.92,0.71,2021-08-29 13:45:00
9,Sassuolo,Sampdoria,1.86,0.81,2021-08-29 11:30:00
10,Udinese,Juventus,1.94,1.11,2021-08-22 11:30:00
11,Napoli,Venezia,2.39,0.69,2021-08-22 13:45:00
12,Bologna,Salernitana,1.65,1.55,2021-08-22 11:30:00
13,Genoa,Napoli,0.52,1.38,2021-08-29 11:30:00
14,Roma,Fiorentina,2.51,1.22,2021-08-22 13:45:00
15,Salernitana,Roma,0.36,2.41,2021-08-29 13:45:00
16,Fiorentina,Torino,0.87,0.38,2021-08-28 13:45:00
17,Bologna,Hellas Verona,1.42,0.35,2021-09-13 13:45:00
18,Lazio,Spezia,3.29,0.93,2021-08-28 11:30:00
19,Atalanta,Bologna,1.24,0.3,2021-08-28 11:30:00
20,Juventus,Empoli,1.65,0.78,2021-08-28 13:45:00
21,Sampdoria,Inter,1.19,1.21,2021-09-12 05:30:00
22,Cagliari,Genoa,1.5,1.19,2021-09-12 08:00:00
23,Empoli,Venezia,2.25,1.58,2021-09-11 08:00:00
24,Spezia,Udinese,1.46,0.85,2021-09-12 08:00:00
25,Torino,Salernitana,2.38,0.31,2021-09-12 08:00:00
26,Milan,Lazio,3.05,0.34,2021-09-12 11:00:00
27,Atalanta,Fiorentina,2.36,1.93,2021-09-11 13:45:00
28,Napoli,Juventus,2.35,1.16,2021-09-11 11:00:00
29,Roma,Sassuolo,2.03,1.87,2021-09-12 13:45:00
30,Sassuolo,Torino,0.89,2.36,2021-09-17 13:45:00
31,Bologna,Genoa,2.49,1.6,2021-09-21 11:30:00
32,Fiorentina,Inter,1.63,2.5,2021-09-21 13:45:00
33,Atalanta,Sassuolo,1.9,1.08,2021-09-21 13:45:00
34,Udinese,Napoli,0.31,3.26,2021-09-20 13:45:00
35,Salernitana,Hellas Verona,2.57,1.64,2021-09-22 11:30:00
36,Milan,Venezia,1.79,1.09,2021-09-22 13:45:00
