llm,count
LLaMA,22
GPT-3.5,11
GPT-4,10
CodeGen,10
StarCoder,9
Codex,7
GPT-Neo,5
Claude,4
WizardCoder,4
CodeGeeX,4
InCoder,4
DeepseekCoder,3
GPT-4o,2
SantaCoder,2
CodeGemma,2
GPT-J,2
Deepseek,2
ChatGLM,2
CodeT5,2
Mistral,2
DeepseekChat,1
Phi,1
GraniteCode,1
Mixtral,1
DeepSeekCoder,1
COdeChat,1
Gemini,1
Qwen,1
StartCoder,1
GPT-4-Turbo,1
GPT2,1
OctoGeeX,1
EduChat,1
PanGu-Coder,1
GPT3,1
Tabnine,1
JuPyT5,1
AlphaCode,1
aiXcoder,1
Copilot,1
CodeGPT,1
PolyCoder,1
Baichuan,1
StableLM,1
RepliCode,1
StarChat,1
BloStarChatomz,1
MOSS,1
BELLE,1
InternLM,1
