llm,count
CodeLlama(LLaMA),11
GPT-4,10
CodeGen,10
StarCoder,9
GPT-3.5-Turbo,7
LLaMA,7
Codex,7
GPT-Neo,5
GPT-3.5,4
Claude,4
WizardCoder,4
InCoder,4
DeepseekCoder,3
CodeGeeX,3
Mistral,2
GPT-4o,2
Deepseek,2
GPT-J,2
Vicuna(LLaMA),2
SantaCoder,2
CodeGemma,2
ChatGLM,2
CodeT5,2
GPT-4-Turbo,1
Phi,1
DeepSeekCoder,1
COdeChat,1
Qwen,1
Gemini,1
Mixtral,1
StartCoder,1
Phind-CodeLlama(LLaMA),1
EduChat,1
DeepseekChat,1
GPT2,1
BloStarChatomz,1
Baichuan,1
PanGu-Coder,1
GPT3,1
Tabnine,1
JuPyT5,1
AlphaCode,1
aiXcoder,1
Copilot,1
CodeGPT,1
PolyCoder,1
InternLM,1
StableLM,1
RepliCode,1
StarChat,1
OctoGeeX,1
MOSS,1
Chinese-Aplaca(LLaMA),1
BELLE,1
GraniteCode,1
