llm,count
GPT-4,20
GPT-3.5,20
CodeLlama,17
DeepSeek,16
Llama,15
CodeGen,13
StarCoder,13
Claude,9
GPT-4o,8
Codex,7
Qwen,7
WizardCoder,6
Mixtral,6
Mistral,6
GPT-Neo,5
InCoder,5
SantaCoder,4
CodeGemma,4
CodeGeex,4
ChatGLM,3
Gemini,3
Phi,3

other,43
GPT-2,1
GPT-3,1
TabNine,1
JuPyT5,1
AlphaCode,1
mBART,1
TRANX,1
TAE,1
aiXcoder,1
Copilot,1
Multi-lingual models,1
CodeGPT,1
PanGu-Coder,1
ChatGPT,1
VICUNA,1
StableLM,1
BLOOMZ,1
StarChat,1
OctoCoder,1
TD-3,1
ReplitCode,1
StarCode,1
verilog-sft,1
CodeChat,1
MOSS,1
BELLE,1
Baichuan,1
EduChat,1
SVEN,1
Phind,1
Grantie,1
Command R,1

